call_va	call_rva	target_va	target_rva	operand
0x007393DF	0x003393DF	0x0082D030	0x0042D030	0x82d030
0x0073940B	0x0033940B	0x00706940	0x00306940	0x706940
0x00739475	0x00339475	0x00422830	0x00022830	0x422830
0x00739495	0x00339495	0x00A112C0	0x006112C0	0xa112c0
0x007394C3	0x003394C3	0x00739080	0x00339080	0x739080
0x007394D6	0x003394D6	0x00A112C0	0x006112C0	0xa112c0
0x007394F2	0x003394F2	0x009AEF10	0x005AEF10	0x9aef10
0x00739528	0x00339528	0x00738AB0	0x00338AB0	0x738ab0
0x00739540	0x00339540	0x007E9020	0x003E9020	0x7e9020
0x0073957A	0x0033957A	0x00752980	0x00352980	0x752980
0x00739667	0x00339667	0x0042C920	0x0002C920	0x42c920
0x007396AD	0x003396AD	0x00A112C0	0x006112C0	0xa112c0
0x00739728	0x00339728	0x00A112C0	0x006112C0	0xa112c0
0x0073975A	0x0033975A	0x00739080	0x00339080	0x739080
0x00739778	0x00339778	0x009AEF10	0x005AEF10	0x9aef10
0x007397A8	0x003397A8	0x00738AB0	0x00338AB0	0x738ab0
0x00739809	0x00339809	INDIRECT	INDIRECT	dword ptr [0xb18894]
0x00739847	0x00339847	0x00AEF15C	0x006EF15C	0xaef15c
0x00739861	0x00339861	0x00A112C0	0x006112C0	0xa112c0
0x0073989C	0x0033989C	0x00AEF15C	0x006EF15C	0xaef15c
0x007398AB	0x003398AB	0x00AEF15C	0x006EF15C	0xaef15c
0x007398E6	0x003398E6	0x006F9400	0x002F9400	0x6f9400
0x007398EF	0x003398EF	0x006F95A0	0x002F95A0	0x6f95a0
0x00739926	0x00339926	0x00422830	0x00022830	0x422830
0x0073993E	0x0033993E	0x00A112C0	0x006112C0	0xa112c0
0x0073997D	0x0033997D	0x00739080	0x00339080	0x739080
0x0073999B	0x0033999B	0x009AEF10	0x005AEF10	0x9aef10
0x007399C7	0x003399C7	0x00738AB0	0x00338AB0	0x738ab0
0x00739A0D	0x00339A0D	0x009B1860	0x005B1860	0x9b1860
0x00739A3E	0x00339A3E	0x004288A0	0x000288A0	0x4288a0
0x00739A6E	0x00339A6E	0x00A112C0	0x006112C0	0xa112c0
0x00739ADE	0x00339ADE	0x009BE080	0x005BE080	0x9be080
0x00739B15	0x00339B15	0x00A112C0	0x006112C0	0xa112c0
0x00739B64	0x00339B64	0x0082C7D0	0x0042C7D0	0x82c7d0
0x00739B78	0x00339B78	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x00739B8D	0x00339B8D	0x00738AB0	0x00338AB0	0x738ab0
0x00739BD2	0x00339BD2	0x00A112C0	0x006112C0	0xa112c0
0x00739C1E	0x00339C1E	0x0044BFB0	0x0004BFB0	0x44bfb0
0x00739C47	0x00339C47	0x0044BFB0	0x0004BFB0	0x44bfb0
0x00739C74	0x00339C74	0x0044BFB0	0x0004BFB0	0x44bfb0
0x00739CA5	0x00339CA5	0x004288A0	0x000288A0	0x4288a0
0x00739D9F	0x00339D9F	0x00A112C0	0x006112C0	0xa112c0
0x00739DF5	0x00339DF5	0x00A112C0	0x006112C0	0xa112c0
0x00739E43	0x00339E43	0x00A112C0	0x006112C0	0xa112c0
0x00739E9D	0x00339E9D	0x00A112C0	0x006112C0	0xa112c0
0x00739F08	0x00339F08	0x009BE6B0	0x005BE6B0	0x9be6b0
0x00739F15	0x00339F15	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x00739F3D	0x00339F3D	0x00A112C0	0x006112C0	0xa112c0
0x0073A074	0x0033A074	0x009BE6B0	0x005BE6B0	0x9be6b0
0x0073A096	0x0033A096	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073A0D4	0x0033A0D4	0x009BE6B0	0x005BE6B0	0x9be6b0
0x0073A0EC	0x0033A0EC	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073A114	0x0033A114	0x009BE6B0	0x005BE6B0	0x9be6b0
0x0073A125	0x0033A125	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073A14D	0x0033A14D	0x00A112C0	0x006112C0	0xa112c0
0x0073A1B8	0x0033A1B8	0x00A112C0	0x006112C0	0xa112c0
0x0073A205	0x0033A205	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073A219	0x0033A219	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073A256	0x0033A256	0x00738AB0	0x00338AB0	0x738ab0
0x0073A27D	0x0033A27D	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073A2A9	0x0033A2A9	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073A2D7	0x0033A2D7	0x0044BFB0	0x0004BFB0	0x44bfb0
0x0073A300	0x0033A300	0x0044BFB0	0x0004BFB0	0x44bfb0
0x0073A325	0x0033A325	0x0044BFB0	0x0004BFB0	0x44bfb0
0x0073A356	0x0033A356	0x004288A0	0x000288A0	0x4288a0
0x0073A385	0x0033A385	0x00706940	0x00306940	0x706940
0x0073A399	0x0033A399	0x0074EF70	0x0034EF70	0x74ef70
0x0073A3B2	0x0033A3B2	0x007E90F0	0x003E90F0	0x7e90f0
0x0073A3DF	0x0033A3DF	0x0082CDD0	0x0042CDD0	0x82cdd0
0x0073A3F3	0x0033A3F3	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073A40F	0x0033A40F	0x00738AB0	0x00338AB0	0x738ab0
0x0073A440	0x0033A440	0x00A112C0	0x006112C0	0xa112c0
0x0073A486	0x0033A486	0x009BEA80	0x005BEA80	0x9bea80
0x0073A4A9	0x0033A4A9	0x00A112C0	0x006112C0	0xa112c0
0x0073A554	0x0033A554	0x00771550	0x00371550	0x771550
0x0073A57D	0x0033A57D	0x00771550	0x00371550	0x771550
0x0073A614	0x0033A614	0x00771550	0x00371550	0x771550
0x0073A63D	0x0033A63D	0x00771550	0x00371550	0x771550
0x0073A6F4	0x0033A6F4	0x00771550	0x00371550	0x771550
0x0073A71D	0x0033A71D	0x00771550	0x00371550	0x771550
0x0073A75C	0x0033A75C	0x00A112C0	0x006112C0	0xa112c0
0x0073A7AD	0x0033A7AD	0x0082CDD0	0x0042CDD0	0x82cdd0
0x0073A7C1	0x0033A7C1	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073A7EA	0x0033A7EA	0x00738AB0	0x00338AB0	0x738ab0
0x0073A815	0x0033A815	0x009BE6B0	0x005BE6B0	0x9be6b0
0x0073A825	0x0033A825	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073A84B	0x0033A84B	0x009BE6B0	0x005BE6B0	0x9be6b0
0x0073A85B	0x0033A85B	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073A88F	0x0033A88F	0x006F9400	0x002F9400	0x6f9400
0x0073A898	0x0033A898	0x006F95A0	0x002F95A0	0x6f95a0
0x0073A8F7	0x0033A8F7	0x0074DBD0	0x0034DBD0	0x74dbd0
0x0073A919	0x0033A919	0x00A112C0	0x006112C0	0xa112c0
0x0073A963	0x0033A963	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073A97B	0x0033A97B	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073A9A6	0x0033A9A6	0x004288A0	0x000288A0	0x4288a0
0x0073AA27	0x0033AA27	0x004288A0	0x000288A0	0x4288a0
0x0073AA6F	0x0033AA6F	0x00A112C0	0x006112C0	0xa112c0
0x0073AB10	0x0033AB10	0x00738AB0	0x00338AB0	0x738ab0
0x0073AB40	0x0033AB40	0x0042C920	0x0002C920	0x42c920
0x0073AB61	0x0033AB61	0x00A112C0	0x006112C0	0xa112c0
0x0073ABAF	0x0033ABAF	0x00A112C0	0x006112C0	0xa112c0
0x0073AC12	0x0033AC12	0x00417870	0x00017870	0x417870
0x0073AC44	0x0033AC44	0x004288A0	0x000288A0	0x4288a0
0x0073AC7A	0x0033AC7A	0x00A112C0	0x006112C0	0xa112c0
0x0073ACC8	0x0033ACC8	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073ACE2	0x0033ACE2	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073AD07	0x0033AD07	0x004288A0	0x000288A0	0x4288a0
0x0073AD35	0x0033AD35	0x00A112C0	0x006112C0	0xa112c0
